,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,1,-1,-1,0.6574909687042236,"[0, 2]",-0.05,-0.05
1,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,7,-1,-2,1.9854011535644531,"[2, 2, 1, 0, 2, 3, 3, 3]",-0.0975,-0.04875
2,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,2,-1,-3,0.004084110260009766,"[3, 1, 0]",-0.14750000000000002,-0.04916666666666667
3,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,1,-1,-4,0.002000093460083008,"[1, 1]",-0.1975,-0.049375
4,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,99,1,-3,3.192084312438965,"[3, 1, 0, 1, 1, 3, 0, 2, 0, 2, 1, 3, 1, 0, 3, 3, 3, 3, 3, 0, 3, 1, 0, 2, 2, 3, 2, 1, 2, 1, 1, 3, 3, 0, 2, 0, 3, 0, 3, 0, 1, 3, 0, 0, 3, 3, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 1, 3, 0, 0, 0, 2, 0, 0, 3, 0, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 3, 3, 3, 0]",-0.13887742839940953,-0.009919816314243537
5,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,5,-1,-4,0.00807642936706543,"[3, 3, 3, 3, 3, 3]",-0.18887742839940952,-0.012591828559960635
6,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,4,-1,-5,0.005999565124511719,"[1, 3, 1, 0, 1]",-0.23524746774325134,-0.015683164516216756
7,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,1,-1,-6,0.002000093460083008,"[1, 2]",-0.280168555920307,-0.018677903728020466
8,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,95,0,-6,0.8653695583343506,"[1, 1, 3, 0, 0, 3, 2, 0, 0, 3, 3, 3, 3, 0, 3, 3, 1, 0, 0, 0, 3, 3, 3, 0, 3, 3, 1, 0, 3, 3, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3, 3, 3, 2, 3, 3, 3, 3, 0, 3, 3, 2, 3, 3, 1, 0, 3, 2, 2, 1, 2, 3, 1, 0, 3, 3, 3, 0, 3, 2, 3, 3, 2, 1, 0, 1]",-0.2673646753340045,-0.015727333843176733
9,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,0,-1,-7,0.0009975433349609375,[3],-0.31489970997243155,-0.018523512351319504
10,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,88,2,-5,1.0663013458251953,"[0, 0, 0, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 1, 3, 3, 3, 2, 3, 2, 3, 2, 3, 2, 3, 3, 2, 3, 3, 2, 3, 1, 2, 3, 2, 3, 0, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 0, 2, 0, 3, 3, 2, 2, 3, 3, 1, 2, 3, 2, 3, 3, 3, 3, 3, 1, 1]",-0.2081407117026996,-0.0115633728723722
11,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,5,-1,-6,0.007115840911865234,"[3, 1, 0, 0, 0, 2]",-0.24821881681017116,-0.013064148253166903
12,6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,0,-1,-7,0.0010013580322265625,[0],-0.29618767869534685,-0.015588825194491939
