,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"DQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,0,24,-1,-1,0.021166086196899414,"[0, 2, 0, 0, 0, 0, 2, 1, 3, 2, 0, 3, 3, 1, 2, 1, 3, 0, 1, 3, 2, 2, 0, 3, 1]",0,0
1,"DQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,1,38,0,-1,0.04049038887023926,"[3, 3, 3, 1, 2, 2, 1, 2, 3, 3, 2, 2, 2, 0, 1, 2, 2, 0, 0, 2, 0, 1, 2, 0, 0, 2, 1, 3, 3, 3, 2, 2, 2, 2, 0, 3, 1, 1, 2]",0,0
2,"DQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,2,76,0,-1,0.1665189266204834,"[3, 2, 3, 3, 3, 0, 3, 2, 2, 3, 3, 3, 0, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 0, 0, 0, 2, 3, 2, 2, 0, 2, 2, 1, 2, 1, 3, 2, 2, 2, 2, 2, 2, 2, 3, 0, 2, 2, 3, 1, 2, 0, 0, 1, 3, 1, 3, 2, 2, 2, 0, 2, 3, 2, 0, 1, 0, 2, 2, 3, 0, 2, 1, 1, 3, 2]",0,0
3,"DQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,3,9,-1,-2,0.018175125122070312,"[3, 3, 2, 3, 1, 3, 3, 3, 0, 3]",0,0
4,"DQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,4,0,-1,-3,0.0009996891021728516,[0],0,0
5,"DQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,5,0,-1,-4,0.0020003318786621094,[1],0,0
6,"DQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,6,0,-1,-5,0.002000093460083008,[2],0,0
7,"DQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,7,6,-1,-6,0.012177705764770508,"[1, 1, 2, 2, 3, 3, 3]",0,0
8,"DQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,8,0,-1,-7,0.0009996891021728516,[0],0,0
9,"DQN_classroom_A_language_{'hidden_size': 128, 'learning_rate': 0.001, 'gamma': 0.99, 'epsilon': 1.0, 'epsilon_min': 0.01, 'epsilon_decay': 0.995, 'memory_size': 10000, 'batch_size': 64, 'target_update': 10}",,9,0,-1,-8,0.0020003318786621094,[2],0,0
