,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,0,36,-1,-1,5.438833713531494,"[1, 0, 3, 3, 2, 1, 2, 0, 1, 3, 2, 0, 3, 2, 0, 0, 3, 2, 1, 1, 0, 0, 3, 0, 1, 2, 0, 0, 1, 3, 1, 0, 0, 1, 1, 1, 2]",-0.05,-0.05
1,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,1,0,-1,-2,0.0019998550415039062,[0],-0.1,-0.05
2,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,2,4,-1,-3,0.006104946136474609,"[3, 1, 3, 3, 1]",-0.15000000000000002,-0.05000000000000001
3,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,3,1,-1,-4,0.0019989013671875,"[3, 1]",-0.1975,-0.06583333333333334
4,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,4,1,-1,-5,0.0019981861114501953,"[1, 2]",-0.24012499999999998,-0.08004166666666666
5,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,5,2,-1,-6,0.0030024051666259766,"[3, 2, 3]",-0.28524999999999995,-0.07131249999999999
6,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,6,12,1,-5,1.6353647708892822,"[0, 2, 2, 1, 0, 0, 1, 0, 1, 3, 2, 3, 1]",-0.22608248437499995,-0.04521649687499999
7,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,7,3,-1,-6,0.004996538162231445,"[0, 2, 0, 3]",-0.2735887343749999,-0.04559812239583332
8,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,8,0,-1,-7,0.0009982585906982422,[0],-0.3212196718749999,-0.05353661197916665
9,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,9,4,-1,-8,0.0050771236419677734,"[2, 2, 3, 0, 3]",-0.36224978589843737,-0.06037496431640623
10,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,10,2,-1,-9,0.0029990673065185547,"[0, 3, 0]",-0.4072198953379882,-0.058174270762569744
11,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,11,3,-1,-10,0.004070758819580078,"[2, 0, 2, 2]",-0.449919663833914,-0.06427423769055915
12,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,12,30,2,-8,1.6525657176971436,"[1, 1, 2, 0, 0, 3, 0, 2, 0, 2, 2, 1, 3, 1, 2, 0, 0, 3, 2, 3, 2, 0, 2, 3, 0, 3, 2, 3, 3, 1, 1]",-0.34348047002883664,-0.028623372502403054
13,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,13,2,-1,-9,0.004000425338745117,"[2, 1, 0]",-0.3842056451626341,-0.032017137096886174
14,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,14,0,-1,-10,0.0010001659393310547,[0],-0.42548738271296455,-0.03545728189274704
15,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,15,6,-1,-11,0.007118940353393555,"[1, 3, 0, 1, 0, 1, 2]",-0.4635690413220562,-0.035659157024773555
16,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,16,2,-1,-12,0.003000974655151367,"[1, 3, 1]",-0.5083320565370492,-0.03910246588746532
17,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,17,9,-1,-13,0.01007699966430664,"[3, 2, 0, 1, 0, 2, 1, 1, 0, 0]",-0.5517375795013341,-0.03940982710723815
18,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,18,0,-1,-14,0.0010724067687988281,[2],-0.5956997853523924,-0.04254998466802803
19,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,19,3,1,-13,0.004000186920166016,"[3, 2, 1, 1]",-0.5411773956176488,-0.036078493041176586
20,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,20,5,1,-12,0.005999565124511719,"[3, 1, 1, 2, 3, 1]",-0.4819413506067465,-0.028349491212161557
21,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,21,0,-1,-13,0.0010890960693359375,[2],-0.5237054461652519,-0.030806202715603054
22,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,22,0,-1,-14,0.0010001659393310547,[1],-0.5675958446944289,-0.03338799086437817
23,"Qlearntab_LLM_{'alpha': 0.05, 'gamma': 0.95, 'epsilon': 0.2, 'epsilon_step': 0.01}",,23,0,-1,-15,0.0009996891021728516,[2],-0.6072717354750091,-0.0357218667926476
